ANO;PIB_ES;ASPS_ES_EE;ASPS_ES_EM;PIB_ASPS_EE;PIB_ASPS_EM;PIB_ASPS_T
2011;106000000000;1507019041,07;1335748245,71;1,42%;1,26%;2,68%
2012;116900000000;1677462543,51;1574382239,4;1,43%;1,35%;2,78%
2013;117300000000;1953636022,27;1728814161,54;1,67%;1,47%;3,14%
2014;128800000000;2358313630,52;1971699146,81;1,83%;1,53%;3,36%
2015;120400000000;2504370921,96;2084346332,95;2,08%;1,73%;3,81%
2016;109300000000;2362711109,31;2097227532,1;2,16%;1,92%;4,08%
2017;113400000000;2543166669,32;2108816542,9;2,24%;1,86%;4,10%
2018;137000000000;2824781570,39;2315318720,1;2,06%;1,69%;3,75%
2019;137300000000;2847890994,16;2545352172,46;2,07%;1,85%;3,93%
2020;132700000000;3453327468,42;2912203259,87;2,60%;2,19%;4,80%
2021;151600000000;3795782977,01;3016099591,57;2,50%;1,99%;4,49%
